Country Name,Country Code,AG.LND.TOTL.K2,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EG.FEC.RNEW.ZS,EN.ATM.CO2E.PC,SP.DYN.LE00.IN,SP.POP.TOTL,POP.DENSE,POP.CAT,POP.DENSE.CAT
North Macedonia,MKD,25220.0,77.3,100.0,16.32,3.99673721344351,76.6024390243903,2076694.0,82.34314036478985,Very Low,Very Low
Norway,NOR,365094.0,100.0,100.0,62.37,6.7222699848575,82.9585365853659,5347896.0,14.64799750201318,Very Low,Very Low
Oman,OMN,309500.0,100.0,100.0,0.0,15.2824363897061,77.861,4974992.0,16.074287560581585,Very Low,Very Low
Pakistan,PAK,770880.0,47.8,74.1276931762695,43.36,0.879965499388893,67.273,216565317.0,280.9325926214197,High,Low
Panama,PAN,74180.0,87.6,95.8163299560547,18.91,3.1414549958525,78.506,4246440.0,57.24507953626314,Very Low,Very Low
Papua New Guinea,PNG,452860.0,9.1,59.6629753112793,53.09,0.863707513959878,64.501,8776119.0,19.379320319745617,Very Low,Very Low
Paraguay,PRY,397300.0,68.0,99.6999969482422,60.09,1.16542523160477,74.254,7044639.0,17.731283664736974,Very Low,Very Low
Peru,PER,1280000.0,83.25,95.5513610839844,27.12,1.74559192668502,76.736,32510462.0,25.3987984375,Low,Very Low
Philippines,PHL,298170.0,46.5,95.6450805664063,26.73,1.34502905731688,71.231,108116622.0,362.60060368246303,Medium,Low
Poland,POL,306110.0,100.0,100.0,12.18,7.77364183861292,77.9048780487805,37965475.0,124.02559537421189,Low,Very Low
Portugal,PRT,91605.6,100.0,100.0,28.19,4.33976842606964,81.6756097560976,10286263.0,112.28858279406498,Very Low,Very Low
Qatar,QAT,11490.0,100.0,100.0,0.04,32.4744687618012,80.227,2832071.0,246.48137510879025,Very Low,Low
Romania,ROU,230080.0,87.7,100.0,23.54,3.81743447683141,75.6073170731707,19371648.0,84.19527121001391,Very Low,Very Low
Russian Federation,RUS,16376870.0,87.8,100.0,3.22,11.7972029330523,73.0839024390244,144406261.0,8.81769599441163,Medium,Very Low
Rwanda,RWA,24670.0,1.9,40.3686065673828,77.86,0.105330369319572,69.024,12626938.0,511.833725172274,Very Low,Medium
Samoa,WSM,2780.0,35.3,99.1999969482422,34.21,1.52212413389075,73.321,197093.0,70.89676258992806,Very Low,Very Low
Sao Tome and Principe,STP,960.0,3.0,74.9672012329102,37.09,0.697518721217886,70.385,215048.0,224.00833333333333,Very Low,Low
Saudi Arabia,SAU,2149690.0,100.0,100.0,0.03,15.2845787251876,75.133,34268529.0,15.941149188952826,Low,Very Low
Senegal,SEN,192530.0,24.7,70.4000015258789,37.2,0.651679183707327,67.941,16296362.0,84.64323482054745,Very Low,Very Low
Serbia,SRB,87460.0,78.6,99.8000030517578,21.53,6.61604693907974,75.9365853658537,6945235.0,79.4104161902584,Very Low,Very Low
Seychelles,SYC,460.0,100.0,100.0,1.47,6.24839963436737,74.0463414634146,97625.0,212.22826086956522,Very Low,Low
Sierra Leone,SLE,72180.0,0.700000000000001,22.7000007629395,75.44,0.115189572752666,54.696,7813207.0,108.2461485175949,Very Low,Very Low
Singapore,SGP,716.0,100.0,100.0,0.84,8.30707949147546,83.5951219512195,5703569.0,7965.878491620112,Very Low,Very High
Slovak Republic,SVK,48080.0,100.0,100.0,17.64,5.69841625532024,77.6658536585366,5454147.0,113.43899750415973,Very Low,Very Low
Slovenia,SVN,20136.4,100.0,100.0,20.86,6.51220937780615,81.5292682926829,2088385.0,103.71193460598715,Very Low,Very Low
Solomon Islands,SLB,27990.0,9.2,69.8094177246094,48.39,0.537457043456558,72.996,669821.0,23.930725259021077,Very Low,Very Low
Somalia,SOM,627340.0,2.9,49.2000007629395,95.03,0.0446807095514156,57.397,15442906.0,24.616485478368986,Very Low,Very Low
South Africa,ZAF,1213090.0,86.3,85.0,10.5,7.5077360921292,64.131,58558267.0,48.27198888788136,Low,Very Low
South Sudan,SSD,631930.0,0.0,6.70700693130493,26.65,0.153677682917001,57.846,11062114.0,17.505283813080563,Very Low,Very Low
Spain,ESP,499570.036,100.0,100.0,17.27,5.09135092007508,83.8317073170732,47134837.0,94.35080890239782,Low,Very Low
Sri Lanka,LKA,61864.47,30.6,99.7585678100586,49.91,1.09067562659476,76.978,21803000.0,352.4316946382956,Very Low,Low
St. Lucia,LCA,610.0,94.4,99.5021820068359,9.75,2.95412905964426,76.203,182795.0,299.6639344262295,Very Low,Low
St. Vincent and the Grenadines,VCT,390.0,94.5,100.0,5.68,2.35096245208338,72.534,110593.0,283.57179487179485,Very Low,Low
Sudan,SDN,1868000.0,53.6,53.9625396728516,62.23,0.481626765087475,65.311,42813237.0,22.91929175588865,Low,Very Low
Suriname,SUR,156000.0,93.9,97.8254165649414,14.4,4.55825378527259,71.682,581363.0,3.7266858974358974,Very Low,Very Low
Sweden,SWE,407283.59,100.0,100.0,52.88,3.4050379189887,83.109756097561,10278887.0,25.237665480212446,Very Low,Very Low
Switzerland,CHE,39516.03,100.0,100.0,24.76,4.35904146198319,83.9048780487805,8575280.0,217.00762956197778,Very Low,Low
Syrian Arab Republic,SYR,183630.0,97.3,89.2692108154297,1.02,1.50613944194882,72.697,17070132.0,92.95938572128738,Very Low,Very Low
Tajikistan,TJK,138790.0,81.6,99.6332092285156,38.56,1.01061869242185,71.097,9321023.0,67.15918293825203,Very Low,Very Low
Tanzania,TZA,885800.0,4.3,37.6596870422363,85.22,0.214634960133583,65.456,58005461.0,65.48369948069542,Low,Very Low
Thailand,THA,510890.0,82.7,99.9000015258789,23.96,3.83609001895282,77.15,69625581.0,136.28292000234885,Low,Very Low
Timor-Leste,TLS,14870.0,12.5,90.7986526489258,11.67,0.479460533259382,69.495,1293120.0,86.96166778749159,Very Low,Very Low
Togo,TGO,54390.0,9.25,52.363109588623,76.21,0.29323120707198,61.042,8082359.0,148.60009192866335,Very Low,Very Low
Tonga,TON,720.0,82.1,98.4000015258789,1.77,1.53114440054471,70.907,104497.0,145.13472222222222,Very Low,Very Low
Trinidad and Tobago,TTO,5130.0,100.0,100.0,0.43,12.3228548692176,73.507,1394969.0,271.9237816764132,Very Low,Low
Tunisia,TUN,155360.0,99.8,100.0,12.2,2.55756420759521,76.699,11694721.0,75.2749806900103,Very Low,Very Low
Turkiye,TUR,769630.0,95.2,100.0,14.12,4.75658474979861,77.691,83429607.0,108.40222834348972,Medium,Very Low
Turkmenistan,TKM,469930.0,99.9,99.9000015258789,0.06,12.2633540880676,68.191,5942094.0,12.644636435213755,Very Low,Very Low
Uganda,UGA,200520.0,0.5,41.2999992370605,90.22,0.132370788404111,63.368,44269587.0,220.77392280071814,Low,Low
